"date","lowest_price","median_price","volume"
"1615329660000","1.53€","1.50€","12.230"
"1615330260000","1.50€","1.50€","12.230"
"1615330860000","1.55€","1.50€","12.230"
"1615331460000","1.55€","1.50€","12.230"
"1615332060000","1.52€","1.52€","12.206"
"1615332660000","1.55€","1.52€","12.206"
"1615333260000","1.55€","1.52€","12.206"
"1615333860000","1.47€","1.52€","12.206"
"1615334460000","1.54€","1.52€","12.206"
"1615335000000","1.54€","1.52€","12.206"
"1615335060000","1.54€","1.52€","12.206"
"1615335660000","1.55€","1.55€","12.177"
"1615336260000","1.55€","1.55€","12.177"
"1615336860000","1.55€","1.55€","12.177"
"1615337460000","1.50€","1.55€","12.177"
"1615338060000","1.45€","1.55€","12.177"
"1615338660000","1.55€","1.55€","12.051"
"1615339260000","1.52€","1.55€","12.051"
"1615339860000","1.55€","1.55€","12.051"
"1615340460000","1.54€","1.55€","12.051"
"1615341060000","1.55€","1.55€","12.051"
"1615341660000","1.56€","1.55€","12.051"
"1615342260000","1.56€","1.55€","12.051"
"1615342860000","1.54€","1.56€","11.922"
"1615343460000","1.50€","1.56€","11.922"
"1615344060000","1.56€","1.56€","11.922"
"1615344660000","1.57€","1.56€","11.922"
"1615345260000","1.57€","1.56€","11.922"
"1615345860000","1.57€","1.58€","11.835"
"1615346460000","1.57€","1.58€","11.835"
"1615347060000","1.56€","1.58€","11.835"
"1615347660000","1.57€","1.58€","11.835"
"1615348260000","1.57€","1.58€","11.835"
"1615348860000","1.55€","1.58€","11.835"
"1615349460000","1.57€","1.58€","11.835"
"1615350060000","1.57€","1.59€","11.846"
"1615350660000","1.50€","1.59€","11.846"
"1615351260000","1.57€","1.59€","11.846"
"1615351860000","1.58€","1.59€","11.846"
"1615352460000","1.58€","1.59€","11.846"
"1615353060000","1.57€","1.59€","11.709"
"1615353660000","1.55€","1.59€","11.709"
"1615354260000","1.56€","1.59€","11.709"
"1615354860000","1.57€","1.59€","11.709"
"1615355460000","1.57€","1.59€","11.709"
"1615356060000","1.57€","1.59€","11.709"
"1615356660000","1.57€","1.59€","11.709"
"1615357260000","1.57€","1.59€","11.743"
"1615357860000","1.50€","1.59€","11.743"
"1615358460000","1.57€","1.59€","11.743"
"1615359060000","1.47€","1.59€","11.743"
"1615359660000","1.57€","1.59€","11.743"
"1615360260000","1.57€","1.59€","11.743"
"1615360860000","1.57€","1.59€","12.004"
"1615361460000","1.57€","1.59€","12.004"
"1615362060000","1.57€","1.59€","12.004"
"1615362660000","1.57€","1.59€","12.004"
"1615363260000","1.55€","1.59€","12.004"
"1615363860000","1.55€","1.59€","12.004"
"1615364460000","1.54€","1.59€","11.992"
"1615365060000","1.57€","1.59€","11.992"
"1615365660000","1.57€","1.59€","11.992"
"1615366260000","1.57€","1.59€","11.992"
"1615366860000","1.57€","1.59€","11.992"
"1615367460000","1.57€","1.57€","12.128"
"1615368060000","1.57€","1.57€","12.128"
"1615368660000","1.57€","1.57€","12.128"
"1615369260000","1.56€","1.57€","12.128"
"1615369860000","1.57€","1.57€","12.128"
"1615370460000","1.57€","1.57€","12.128"
"1615371060000","1.56€","1.57€","12.128"
"1615371660000","1.50€","1.56€","12.062"
"1615372260000","1.57€","1.56€","12.062"
"1615372860000","1.50€","1.56€","12.062"
"1615373460000","1.57€","1.56€","12.062"
"1615374060000","1.57€","1.56€","12.062"
"1615374660000","1.57€","1.57€","11.788"
"1615375260000","1.56€","1.57€","11.788"
"1615375860000","1.56€","1.57€","11.788"
"1615376460000","1.52€","1.57€","11.788"
"1615377060000","1.52€","1.57€","11.788"
"1615387140000","1.52€","1.54€","12.248"
"1615387740000","1.52€","1.54€","12.248"
"1615388340000","1.52€","1.54€","12.248"
"1615388940000","1.53€","1.54€","12.248"
"1615389540000","1.54€","1.53€","12.419"
"1615390140000","1.53€","1.53€","12.419"
"1615390740000","1.52€","1.53€","12.419"
"1615391340000","1.51€","1.53€","12.419"
"1615391940000","1.53€","1.53€","12.419"
"1615392540000","1.52€","1.53€","12.419"
"1615393140000","1.53€","1.53€","12.457"
"1615393740000","1.54€","1.53€","12.457"
"1615394340000","1.55€","1.53€","12.457"
"1615394940000","1.56€","1.53€","12.457"
"1615395540000","1.50€","1.53€","12.457"
"1615401300000","1.49€","1.47€","12.673"
"1615401360000","1.52€","1.47€","12.673"
"1615401960000","1.46€","1.47€","12.673"
"1615402560000","1.47€","1.47€","12.673"
"1615403160000","1.47€","1.47€","12.673"
"1615403760000","1.44€","1.47€","12.673"
"1615404360000","1.40€","1.47€","12.673"
"1615404960000","1.39€","1.47€","12.673"
"1615405560000","1.40€","1.47€","12.673"
"1615406160000","1.44€","1.47€","12.673"
"1615408560000","1.49€","1.43€","12.075"
"1615409160000","1.49€","1.43€","12.075"
"1615421700000","1.51€","1.43€","12.273"
"1615421760000","1.52€","1.43€","12.273"
"1615422360000","1.50€","1.43€","12.273"
"1615422960000","1.52€","1.43€","12.273"
"1615423560000","1.53€","1.43€","12.273"
"1615424160000","1.51€","1.43€","12.273"
"1615424760000","1.53€","1.43€","12.273"
"1615425360000","1.52€","1.53€","12.553"
"1615425960000","1.54€","1.53€","12.553"
"1615426560000","1.54€","1.53€","12.553"
"1615427160000","1.55€","1.53€","12.553"
"1615427760000","1.55€","1.53€","12.553"
"1615428360000","1.53€","1.53€","12.553"
"1615428960000","1.52€","1.55€","12.621"
"1615429560000","1.54€","1.55€","12.621"
"1615460520000","1.54€","1.56€","12.716"
"1615460580000","1.54€","1.56€","12.716"
"1615461180000","1.54€","1.55€","12.698"
"1615461780000","1.52€","1.55€","12.698"
"1615465140000","1.47€","1.51€","12.452"
"1615465740000","1.50€","1.51€","12.452"
"1615466340000","1.50€","1.51€","12.452"
"1615466940000","1.50€","1.51€","12.452"
"1615467540000","1.46€","1.51€","12.452"
"1615468140000","1.47€","1.51€","12.452"
"1615468740000","1.50€","1.49€","12.212"
"1615469340000","1.47€","1.49€","12.212"
"1615469940000","1.47€","1.49€","12.212"
"1615470540000","1.49€","1.49€","12.212"
"1615471140000","1.50€","1.49€","12.212"
"1615471740000","1.47€","1.49€","12.212"
"1615472340000","1.53€","1.49€","12.294"
"1615472940000","1.54€","1.49€","12.294"
"1615473540000","1.54€","1.49€","12.294"
"1615474140000","1.51€","1.49€","12.294"
"1615474740000","1.52€","1.49€","12.294"
"1615475340000","1.49€","1.49€","12.294"
"1615475940000","1.46€","1.54€","12.418"
"1615487340000","1.50€","1.51€","12.600"
"1615487940000","1.46€","1.51€","12.600"
"1615504140000","1.47€","1.49€","12.565"
"1615504800000","1.50€","1.47€","12.506"
"1615505340000","1.50€","1.47€","12.506"
"1615505940000","1.46€","1.47€","12.506"
"1615506600000","1.46€","1.47€","12.506"
"1615507140000","1.46€","1.47€","12.506"
"1615507740000","1.50€","1.47€","12.506"
"1615508340000","1.50€","1.49€","12.544"
"1615508940000","1.43€","1.49€","12.544"
"1615509540000","1.46€","1.49€","12.544"
"1615510200000","1.50€","1.49€","12.544"
"1615510800000","1.51€","1.49€","12.544"
"1615511400000","1.51€","1.49€","12.544"
"1615512000000","1.47€","1.50€","12.439"
"1615512600000","1.49€","1.50€","12.439"
"1615513200000","1.52€","1.50€","12.439"
"1615513800000","1.51€","1.50€","12.439"
"1615514400000","1.54€","1.50€","12.439"
"1615515000000","1.54€","1.50€","12.439"
"1615515600000","1.51€","1.52€","12.738"
"1615516200000","1.52€","1.52€","12.738"
"1615516800000","1.47€","1.52€","12.738"
"1615517400000","1.54€","1.52€","12.738"
"1615518000000","1.54€","1.52€","12.738"
"1615518600000","1.54€","1.52€","12.738"
"1615519200000","1.54€","1.56€","12.804"
"1615519800000","1.52€","1.56€","12.804"
"1615520400000","1.53€","1.56€","12.804"
"1615521000000","1.54€","1.56€","12.804"
"1615521600000","1.54€","1.56€","12.804"
"1615522200000","1.54€","1.56€","12.804"
"1615522800000","1.54€","1.55€","12.825"
"1615523400000","1.54€","1.55€","12.825"
"1615524000000","1.54€","1.55€","12.825"
"1615524600000","1.54€","1.55€","12.825"
"1615525200000","1.55€","1.55€","12.825"
"1615525800000","1.54€","1.55€","12.825"
"1615526400000","1.55€","1.56€","12.682"
"1615527000000","1.55€","1.56€","12.682"
"1615527600000","1.55€","1.56€","12.682"
"1615528200000","1.55€","1.56€","12.682"
"1615528800000","1.55€","1.56€","12.682"
"1615529400000","1.55€","1.56€","12.682"
"1615530000000","1.54€","1.57€","12.917"
"1615530600000","1.54€","1.57€","12.917"
"1615531200000","1.55€","1.57€","12.917"
"1615531800000","1.54€","1.57€","12.917"
"1615532400000","1.54€","1.57€","12.917"
"1615533000000","1.55€","1.57€","12.917"
"1615533600000","1.55€","1.55€","12.902"
"1615534200000","1.54€","1.55€","12.902"
"1615535400000","1.54€","1.55€","12.902"
"1615537200000","1.51€","1.56€","12.788"
"1615546200000","1.55€","1.56€","13.193"
"1615547400000","1.50€","1.56€","13.193"
"1615548000000","1.53€","1.55€","13.381"
"1615548600000","1.50€","1.55€","13.381"
"1615549200000","1.54€","1.55€","13.381"
"1615549800000","1.49€","1.55€","13.381"
"1615550400000","1.52€","1.55€","13.381"
"1615551000000","1.53€","1.55€","13.381"
"1615551600000","1.53€","1.53€","13.639"
"1615552200000","1.55€","1.53€","13.639"
"1615557480000","1.53€","1.54€","13.714"
"1615461960000","1.50€","1.55€","12.698"
"1615463040000","1.49€","1.55€","12.698"
"1615463040000","1.49€","1.55€","12.698"
"1615463040000","1.49€","1.55€","12.698"
"1615463700000","1.51€","1.55€","12.698"
"1615463760000","1.51€","1.55€","12.698"
"1615463820000","1.51€","1.55€","12.698"
"1615551960000","1.54€","1.53€","13.639"
"1615552020000","1.55€","1.53€","13.639"
"1615557780000","1.53€","1.54€","13.714"
"1615557780000","1.53€","1.54€","13.714"
"1615558140000","1.53€","1.54€","13.714"
"1615558200000","1.53€","1.54€","13.714"
"1615562820000","1.52€","1.51€","13.651"
"1615562820000","1.52€","1.51€","13.651"
"1615563120000","1.51€","1.51€","13.651"
"1615563480000","1.53€","1.51€","13.651"
"1615563900000","1.51€","1.51€","13.651"
"1615564080000","1.53€","1.51€","13.651"
"1615566060000","1.53€","1.52€","13.438"
"1615568100000","1.52€","1.52€","13.438"
"1615570080000","1.53€","1.54€","13.370"
"1615572060000","1.54€","1.54€","13.370"
"1615595400000","1.54€","1.55€","14.443"
"1615597380000","1.54€","1.55€","14.443"
"1615599420000","1.55€","1.55€","14.627"
"1615601400000","1.55€","1.55€","14.627"
"1615603380000","1.56€","1.55€","14.627"
"1615605420000","1.52€","1.55€","14.627"
"1615607400000","1.56€","1.55€","14.627"
1615609380000,"1.56€","1.56€","14.721"
